Đầu việc,Chi tiết đầu việc,Điểm tương ứng,Trung bình thời gian,Note
Sản phẩm,Viết mô tả chi tiết,3,"2,00",
Sản phẩm,Duyệt Thành phần,"1,5","1,00",
Sản phẩm,Duyệt mô tả chi tiết,"1,5","1,00",
Sản phẩm,Cập nhật thông tin,"0,5","0,33",
Bài Góc sức khỏe,SEO,"0,75","0,50",
Bài Góc sức khỏe,Trend,"0,75","0,50",
Bài Góc sức khỏe,Ngành hàng,"0,75","0,50",
Bài Góc sức khỏe,MKT,"0,75","0,50",
Bài Bệnh lý - Thành phần,Bệnh lý,"1,2","0,80",
Bài Bệnh lý - Thành phần,Thuốc gốc,"1,2","0,80",
Bài Bệnh lý - Thành phần,Thành phần khác,"1,2","0,80",
Bài Bệnh lý - Thành phần,Dược liệu,"1,2","0,80",
Tối ưu Sản phẩm - Bài viết,FAQ,"0,5","0,33",
Tối ưu Sản phẩm - Bài viết,Thương hiệu,1,"0,67",
Tối ưu Sản phẩm - Bài viết,Bổ sung thông tin đơn giản,"0,5","0,33",
Tối ưu Sản phẩm - Bài viết,Bổ sung thông tin chi tiết,1,"0,67",
Tối ưu Sản phẩm - Bài viết,Cập nhật hình ảnh,"0,5","0,33",
Tối ưu Sản phẩm - Bài viết,Khác,"0,5","0,33",
Tối ưu Sản phẩm - Bài viết,Quản lý cộng tác viên (Articles+Product),24,"16,00",
Nội dung mới,Longform chuyên gia,15,"10,00",
Nội dung mới,Bài kiểm tra sức khỏe,5,"3,33",
Nội dung mới,Cập nhật thông tin chuyên gia,1,"0,67",
Tối ưu Sản phẩm - Bài viết,Trực ban,6,"4,00","Mỗi lần trực 1 lần add, mỗi lần trực 4 tiếng"
Nội dung mới,Infographic,4,"2,67",
Nội dung mới,Carousel + Audio,"2,5","1,67",
Nội dung mới,Storytelling,25,"16,67",
Nội dung mới,Duyệt Video (Recap),2,"1,33",
Nội dung mới,Reup video của MKT,"1,5","1,00",
Nội dung mới,Short video,2,"1,33",
Nội dung mới,Reup Short video (Media/MKT),"0,5","0,33",
Nội dung mới,Reup Long form trên trang TC,1,"0,67",chỉ reup không thay đổi thiết kế
Nội dung mới,Reup Longform có thiết kế lại,6,"4,00",Có thay đổi thiết kế
Tối ưu Sản phẩm - Bài viết,Quản lý cộng tác viên (Multimedia),12,"8,00",
Tối ưu Sản phẩm - Bài viết,Tối ưu sản phẩm đơn giản,"0,5","0,33",
Tối ưu Sản phẩm - Bài viết,Tối ưu sản phẩm chi tiết,1,"0,67",
Tối ưu Sản phẩm - Bài viết,Tối ưu bài viết đơn giản,"0,5","0,33",
Tối ưu Sản phẩm - Bài viết,Tối ưu bài viết chi tiết,1,"0,67",
Tối ưu Sản phẩm - Bài viết,Tối ưu multimedia đơn giản,"0,5","0,33",
Tối ưu Sản phẩm - Bài viết,Tối ưu multimedia chi tiết,1,"0,67",
Bài Góc sức khỏe,Longform,12,"8,00",
Bài Góc sức khỏe,Bài AI,1,"0,67",
Nội dung mới,Launching/Campaign  - Thông tin ngắn,"0,5","0,33",
Nội dung mới,Launching/Campaign  - Bài viết,1,"0,67",
Sản phẩm,Cập nhật thông tin (mô tả AI),"0,75","0,50",
Tin nhanh,News thông tin y tế,5,"3,33",
Tin nhanh,News tin tức y tế,4,"1,33",
Tin nhanh,News Short video,3,"2,00",
Tin nhanh,Audio/Podcast,,,
Sản phẩm,Listing Image (Hãng),3,"2,00",
Sản phẩm,Listing Image (Ecom),,,
